Código;Twitter;Nome;Link_Wikipedia (Deputado);Partido;Link_Wikipedia (Partido);Coligação;Votos nominais;Nota;Estado
382;@Ossesio_Silva;Ossesio Silva;Ossesio Silva;Republicanos;Republicanos;PTB / DEM / PSDB / PSC / Republicanos / PODE / Cidadania;65.939;;PERNAMBUCO
383;–;Otaci Nascimento;Otaci Nascimento;Solidariedade;Solidariedade;MDB / PSD / Solidariedade / DC;11.847;;RORAIMA
384;@OtoniDepFederal;Otoni de Paula;Otoni de Paula;PSC;PSC;PSC / PROS;120.498;;RIO DE JANEIRO
385;@ottoalencar;Otto Alencar Filho;Otto Alencar Filho;PSD;PSD;PT / PCdoB / PP / PSB / PSD / PL / PODE;185.428;;BAHIA
386;@dep_padrejoao;Padre João;Padre João;PT;PT;PT / PL / PSB / DC / PCdoB;131.228;;MINAS GERAIS
387;@AbilioSantana_;Pastor Abílio Santana;Pastor Abílio Santana;PL;PL;PHS / Cidadania / PRTB / PSL;49.932;Eleito pelo PHS;BAHIA
388;@DEPPASTOREURICO;Pastor Eurico;Pastor Eurico;Patriota;Patriota;Patriota;125.025;;PERNAMBUCO
389;@marcofeliciano;Pastor Marco Feliciano;Pastor Marco Feliciano;Republicanos;Republicanos;PMB / PHS / PODE;239.784;Eleito pelo PODE;SÃO PAULO
390;@prisidorio;Pastor Sargento Isidório;Pastor Sargento Isidório;Avante;Avante;Avante / PROS;323.264;;BAHIA
391;@Patrus_Ananias;Patrus Ananias;Patrus Ananias;PT;PT;PT / PL / PSB / DC / PCdoB;112.082;;MINAS GERAIS
392;@paulambelmonte;Paula Belmonte;Paula Belmonte;Cidadania;Cidadania;Republicanos / PODE / Cidadania / Solidariedade / PSC / PSD;45.287;;DISTRITO FEDERAL
393;@paulaodopt;Paulão;Paulão;PT;PT;MDB / Cidadania / PDT / PL / PTB / PT / PRTB / PODE / PRP / PSD / PMN / Avante;60.900;;ALAGOAS
394;@dep_paulinho;Paulinho da Força;Paulinho da Força;Solidariedade;Solidariedade;Solidariedade;75.613;;SÃO PAULO
395;@pauloabiackel;Paulo Abi-Ackel;Paulo Abi-Ackel;PSDB;PSDB;PSDB / PSD / Solidariedade / Cidadania / DEM / PP;75.379;;MINAS GERAIS
396;@PauloAzi;Paulo Azi;Paulo Azi;DEM;DEM;DEM / Republicanos / PV;84.090;;BAHIA
397;@PauloBengtson;Paulo Bengtson;Paulo Bengtson;PTB;PTB;MDB / PSD / PL / PP / PTB / PSC / PSL / Republicanos / PMB / PHS / PODE;96.707;;PARÁ
398;@PauloMartins10;Paulo Eduardo Martins;Paulo Eduardo Martins;PSC;PSC;PSD / PSC / PL / Cidadania / PODE;118.754;;PARANÁ
399;@DeputadoFoletto;Paulo Foletto;Paulo Foletto;PSB;PSB;PSB / PV / PSC / Avante / PTC / PPL;55.957;Assumiu a Secretaria de Agricultura do Espírito Santo, substituído por Ted Conti (PSB);ESPÍRITO SANTO
400;@DF_PauloFreire;Paulo Freire Costa;Paulo Freire Costa;PL;PL;PL;109.461;;SÃO PAULO
401;@pauloganime;Paulo Ganime;Paulo Ganime;NOVO;NOVO;NOVO;52.983;;RIO DE JANEIRO
402;@deppauloguedes;Paulo Guedes;Paulo Guedes;PT;PT;PT / PL / PSB / DC / PCdoB;168.922;;MINAS GERAIS
403;@DeputadoFederal;Paulo Pimenta;Paulo Pimenta;PT;PT;PT;133.086;;RIO GRANDE DO SUL
404;@pauloramosdep;Paulo Ramos;Paulo Ramos;PDT;PDT;PSB / PDT;25.557;;RIO DE JANEIRO
405;@pauloteixeira13;Paulo Teixeira;Paulo Teixeira;PT;PT;PT / PCdoB;78.512;;SÃO PAULO
406;@PedroABezerra;Pedro Bezerra;Pedro Bezerra;PTB;PTB;PDT / PTB / DEM / PSB / PRP / PPL;119.030;;CEARÁ
407;@pedroocl;Pedro Cunha Lima;Pedro Cunha Lima;PSDB;PSDB;PV / PSDB / PSD / PSC / Solidariedade;76.754;;PARAÍBA
408;@depPedroLucasF;Pedro Lucas Fernandes;Pedro Lucas Fernandes;PTB;PTB;PCdoB / PTC / PSB / Republicanos / Avante / PROS / DEM / PPL / Cidadania / PTB / Solidariedade;109.398;;MARANHÃO
409;@Dep_PedroLupion;Pedro Lupion;Pedro Lupion;DEM;DEM;PP / PTB / DEM / PMN / PMB / PSB / PSDB / PROS;92.300;;PARANÁ
410;@pedropaulo;Pedro Paulo;Pedro Paulo;DEM;DEM;DEM / MDB / PP / PTB;56.646;;RIO DE JANEIRO
411;@uczai;Pedro Uzcai;Pedro Uzcai;PT;PT;PT;114.743;;SANTA CATARINA
412;@pedrowestphalen;Pedro Westphalen;Pedro Westphalen;PP;PP;PSDB / PTB / Republicanos / REDE / PP;97.163;;RIO GRANDE DO SUL
413;@perpetua_acre;Perpétua Almeida;Perpétua Almeida;PCdoB;PCdoB;PT / PSB / PHS / PCdoB / DC;18.374;;ACRE
414;@pinheirinhomg;Pinheirinho;Pinheirinho;PP;PP;PSDB / PSD / Solidariedade / Cidadania / DEM / PP;95.901;;MINAS GERAIS
415;@KatiaSastre;Policial Katia Sastre;Policial Katia Sastre;PL;PL;PL;264.013;;SÃO PAULO
416;@PompeodeMattos;Pompeo de Mattos;Pompeo de Mattos;PDT;PDT;PDT / PMB / PV;80.427;;RIO GRANDE DO SUL
417;@deppimentel;Profª Dayane Pimentel;Profª Dayane Pimentel;PSL;PSL;PHS / Cidadania / PRTB / PSL;136.742;;BAHIA
418;@marcivania65;Profª Marcivânia Flexa;Profª Marcivânia Flexa;PCdoB;PCdoB;PDT / PCdoB / MDB / PROS;14.196;;AMAPÁ
419;@profalcids;Professor Alcides;Professor Alcides;PP;PP;MDB / Republicanos / PP;81.697;;GOIÁS
420;@ProfIsrael;Professor Israel Batista;Professor Israel Batista;PV;PV;PSB / PV / PCdoB / PDT / REDE;66.487;;DISTRITO FEDERAL
421;@professorjoziel;Professor Joziel;Professor Joziel;PSL;PSL;PSL;34.274;;RIO DE JANEIRO
422;@profdorinha;Professora Dorinha;Professora Dorinha;DEM;DEM;PHS / Avante / PROS / DEM / PTC / PP / Solidariedade / Patriota / Republicanos;48.008;;TOCANTINS
423;@prof_rosaneide;Professora Rosa Neide;Professora Rosa Neide;PT;PT;Republicanos / PP / PTB / PT / PMN / PODE / PROS / PL;51.015;;MATO GROSSO
424;@RafaelMottaRN;Rafael Motta;Rafael Motta;PSB;PSB;Republicanos / PTB / PL / Cidadania / PMB / PTC / PSDB / PSB / PSD / Avante / PROS;82.791;;RIO GRANDE DO NORTE
425;@raimundocostaba;Raimundo Costa;Raimundo Costa;PL;PL;PMN / PTC / PRP / PMB;37.336;Eleito pelo PRP;BAHIA
426;@RaulHenry;Raul Henry;Raul Henry;MDB;MDB;PSB / PCdoB / MDB / PSD;87.585;;PERNAMBUCO
427;@ReginaldoLopes;Reginaldo Lopes;Reginaldo Lopes;PT;PT;PT / PL / PSB / DC / PCdoB;185.922;;MINAS GERAIS
428;@rejane_dias;Rejane Dias;Rejane Dias;PT;PT;MDB / PP / PTB / PCdoB / PL / PDT / PSD / PT;138.697;;PIAUÍ
429;@RenataAbreu1919;Renata Abreu;Renata Abreu;PODE;PODE;PMB / PHS / PODE;161.239;;SÃO PAULO
430;@renildo;Renildo Calheiros;Renildo Calheiros;PCdoB;PCdoB;PSB / PCdoB / MDB / PSD;57.919;;PERNAMBUCO
431;@RicardoBarrosPP;Ricardo Barros;Ricardo Barros;PP;PP;PP / PTB / DEM / PMN / PMB / PSB / PSDB / PROS;80.025;;PARANÁ
432;@ricardozguidi;Ricardo Guidi;Ricardo Guidi;PSD;PSD;PSD / PP / PV;61.830;;SANTA CATARINA
433;@RicardoIzar;Ricardo Izar;Ricardo Izar;PP;PP;PSDB / PSD / DEM / PP;121.869;;SÃO PAULO
434;@RicardoSilvaRP;Ricardo Silva;Ricardo Silva;PSB;PSB;PSB / PSC / Cidadania / PTB;86.433;2º suplente, assumiu com a morte do titular Luiz Flávio Gomes e 1º suplente Luiz Lauro Filho;SÃO PAULO
435;@PSDBricardo45;Ricardo Teobaldo;Ricardo Teobaldo;PODE;PODE;PTB / DEM / PSDB / PSC / Republicanos / PODE / Cidadania;73.551;;PERNAMBUCO
436;–;Robério Monteiro;Robério Monteiro;PDT;PDT;PDT / PTB / DEM / PSB / PRP / PPL;131.234;;CEARÁ
437;@RobertoAlvesPRB;Roberto Alves;Roberto Alves;Republicanos;Republicanos;Republicanos;82.097;;SÃO PAULO
438;@robertodelucena;Roberto de Lucena;Roberto de Lucena;PODE;PODE;PMB / PHS / PODE;56.033;;SÃO PAULO
439;@RobertoPessoaCE;Roberto Pessoa;Roberto Pessoa;PSDB;PSDB;PSDB;102.470;;CEARÁ
440;@rodrigoagost;Rodrigo Agostinho;Rodrigo Agostinho;PSB;PSB;PSB / PSC / Cidadania / PTB;100.179;;SÃO PAULO
441;@coelho_rodrigo;Rodrigo Coelho;Rodrigo Coelho;PSB;PSB;Republicanos / PDT / PSC / DEM / PSB / PCdoB / Solidariedade;43.314;;SANTA CATARINA
442;@RodrigoCastro45;Rodrigo de Castro;Rodrigo de Castro;PSDB;PSDB;PSDB / PSD / Solidariedade / Cidadania / DEM / PP;126.653;;MINAS GERAIS
443;@RodrigoMaia;Rodrigo Maia;Rodrigo Maia;DEM;DEM;DEM / MDB / PP / PTB;74.232;;RIO DE JANEIRO
444;@RogerioCorreia_;Rogério Correia;Rogério Correia;PT;PT;PT / PL / PSB / DC / PCdoB;131.512;;MINAS GERAIS
445;@deputadopeninha;Rogério Peninha;Rogério Peninha;MDB;MDB;MDB / PL;76.925;;SANTA CATARINA
446;@ronaldocarletto;Ronaldo Carletto;Ronaldo Carletto;PP;PP;PT / PCdoB / PP / PSB / PSD / PL / PODE;118.097;;BAHIA
447;@DepRosanaValle;Rosana Valle;Rosana Valle;PSB;PSB;PSB / PSC / Cidadania / PTB;106.100;;SÃO PAULO
448;@rosangelasgomes;Rosângela Gomes;Rosângela Gomes;Republicanos;Republicanos;Republicanos;63.952;;RIO DE JANEIRO
449;@rosemodestoms;Rose Modesto;Rose Modesto;PSDB;PSDB;PSDB / Patriota / PSD / PMB / DEM / PP;119.799;;MATO GROSSO DO SUL
450;@23rubensbueno;Rubens Bueno;Rubens Bueno;Cidadania;Cidadania;PSD / PSC / PL / Cidadania / PODE;76.471;;PARANÁ
451;@rubenspereirajr;Rubens Júnior;Rubens Júnior;PCdoB;PCdoB;PCdoB / PTC / PSB / Republicanos / Avante / PROS / DEM / PPL / Cidadania / PTB / Solidariedade;111.570;Assumiu a Secretaria da Agricultura do Maranhão, substituído por Gastão Vieira (PROS);MARANHÃO
452;@RubensOtoni;Rubens Otoni;Rubens Otoni;PT;PT;PT / PCdoB;79.011;;GOIÁS
453;@rfalcao13;Rui Falcão;Rui Falcão;PT;PT;PT / PCdoB;158.389;;SÃO PAULO
454;@depruycarneiro;Ruy Carneiro;Ruy Carneiro;PSDB;PSDB;PV / PSDB / PSD / PSC / Solidariedade;61.259;;PARAÍBA
455;@samiabomfim;Sâmia Bomfim;Sâmia Bomfim;PSOL;PSOL;PSOL / PCB;249.887;;SÃO PAULO
456;@samuelmoreira;Samuel Moreira;Samuel Moreira;PSDB;PSDB;PSDB / PSD / DEM / PP;103.215;;SÃO PAULO
457;@DepSanderson;Sanderson;Sanderson;PSL;PSL;DEM / PROS / PSL;88.559;Suspenso por 1 ano de atividade partidária;RIO GRANDE DO SUL
458;@SandroAlex5555;Sandro Alex;Sandro Alex;PSD;PSD;PSD / PSC / PL / Cidadania / PODE;124.512;Assumiu a Secretaria de Justiça do Paraná, substituído por Evandro Roman (Patriota);PARANÁ
459;@SargentoFAHUR;Sargento Fahur;Sargento Fahur;PSD;PSD;PSD / PSC / PL / Cidadania / PODE;314.963;;PARANÁ
460;@SebaOliveirajr;Sebastião Oliveira;Sebastião Oliveira;PL;PL;PP / PL / Solidariedade / PMN;129.978;;PERNAMBUCO
461;–;Sérgio Brito;Sérgio Brito;PSD;PSD;PT / PCdoB / PP / PSB / PSD / PL / PODE;105.427;Assumiu a Secretaria de Desenvolvimento Urbano da Bahia, substituído por Joseildo Ramos (PT);BAHIA
462;@_sergiosouza;Sergio Souza;Sergio Souza;MDB;MDB;MDB / PDT / Solidariedade / PCdoB;94.077;;PARANÁ
463;@depsergiotoledo;Sérgio Toledo;Sérgio Toledo;PL;PL;MDB / Cidadania / PDT / PL / PTB / PT / PRTB / PODE / PRP / PSD / PMN / Avante;98.201;;ALAGOAS
464;@vidigalsergio;Sérgio Vidigal;Sérgio Vidigal;PDT;PDT;PDT / DEM / PSD / PSDB / PRP / SD;73.030;;ESPÍRITO SANTO
465;–;Severino Pessôa;Severino Pessôa;Republicanos;Republicanos;PTC / PSDB / PP / PSB / PSC / PROS / Republicanos / DEM;70.413;;ALAGOAS
466;@DepSheridan;Shéridan;Shéridan;PSDB;PSDB;Cidadania / DEM / PSDB / PMB;12.024;;RORAIMA
467;@sidneyleite_;Sidney Leite;Sidney Leite;PSD;PSD;PSD / Republicanos / DEM / PTC / PSDB;77.458;;AMAZONAS
468;@silascamara_;Silas Câmara;Silas Câmara;Republicanos;Republicanos;PSD / Republicanos / DEM / PTC / PSDB;117.181;;AMAZONAS
469;@silviacristinax;Silvia Cristina;Silvia Cristina;PDT;PDT;PDT / PSB / PDT / Solidariedade / PP / PL / DC / PTC / PT;33.038;;RONDÔNIA
470;@Silvio_CFilho;Sílvio Costa Filho;Sílvio Costa Filho;Republicanos;Republicanos;PTB / DEM / PSDB / PSC / Republicanos / PODE / Cidadania;109.185;;PERNAMBUCO
471;@sorayasantos;Soraya Santos;Soraya Santos;PL;PL;PODE / PL;48.328;;RIO DE JANEIRO
472;@DepSostenes;Sóstenes Cavalcanti;Sóstenes Cavalcanti;DEM;DEM;DEM / MDB / PP / PTB;94.203;;RIO DE JANEIRO
473;@depstefano;Stefano Aguiar;Stefano Aguiar;PSD;PSD;PSDB / PSD / Solidariedade / Cidadania / DEM / PP;115.258;;MINAS GERAIS
474;@SubGonzagaMG;Subtenente Gonzaga;Subtenente Gonzaga;PDT;PDT;PDT / PV / Republicanos / MDB;92.790;;MINAS GERAIS
475;@tabataamaralsp;Tabata Amaral;Tabata Amaral;PDT;PDT;PDT;264.450;;SÃO PAULO
476;@TadeuAlencarPE;Tadeu Alencar;Tadeu Alencar;PSB;PSB;PSB / PCdoB / MDB / PSD;53.597;;PERNAMBUCO
477;@taliriapetrone;Talíria Petrone;Talíria Petrone;PSOL;PSOL;PSOL / PCB;107.317;;RIO DE JANEIRO
478;@TerezaCrisMS;Tereza Cristina;Tereza Cristina;DEM;DEM;PSDB / Patriota / PSD / PMB / DEM / PP;75.068;Assumiu o Ministério da Agricultura, substituída por Bia Cavassa (PSDB);MATO GROSSO DO SUL
479;@TerezaNelma_;Tereza Nelma;Tereza Nelma;PSDB;PSDB;MDB / Cidadania / PDT / PL / PTB / PT / PRTB / PODE / PRP / PSD / PMN / Avante;44.207;;ALAGOAS
480;@tiago_dimas;Tiago Dimas;Tiago Dimas;Solidariedade;Solidariedade;PHS / Avante / PROS / DEM / PTC / PP / Solidariedade / Patriota / Republicanos;71.842;;TOCANTINS
481;@TiagoMitraud;Tiago Mitraud;Tiago Mitraud;NOVO;NOVO;NOVO;71.416;;MINAS GERAIS
482;@tiriricanaweb;Tiririca;Tiririca;PL;PL;PL;453.855;;SÃO PAULO
483;–;Tito;Tito;Avante;Avante;Avante / PROS;48.502;;BAHIA
484;@deputadotoninho;Toninho Wandscheer;Toninho Wandscheer;PROS;PROS;PP / PTB / DEM / PMN / PMB / PSB / PSDB / PROS;72.475;;PARANÁ
485;@tuliogadelha;Túlio Gadêlha;Túlio Gadêlha;PDT;PDT;PROS / Avante / PDT;75.642;;PERNAMBUCO
486;@ulduricojr;Uldurico Júnior;Uldurico Júnior;PROS;PROS;PSC / PTB / Solidariedade / PPL;66.343;Eleito pelo PPL;BAHIA
487;@VaidonOliveira;Vaidon Oliveira;Vaidon Oliveira;PROS;PROS;PROS;30.392;;CEARÁ
488;@ValdevanNoventa;Valdevan Noventa;Valdevan Noventa;PL;PL;Republicanos / Cidadania / PSC / PL / PTC / PSDB / Solidariedade;45.472;Eleito pelo PSC;SERGIPE
489;@DepValmir;Valmir Assunção;Valmir Assunção;PT;PT;PT / PCdoB / PP / PSB / PSD / PL / PODE;118.313;;BAHIA
490;@Vandamilani1;Vanda Milani;Vanda Milani;Solidariedade;Solidariedade;PP / PSDB / PSD / MDB / DEM / Solidariedade / PTC / PMN / PL / PTB / Cidadania;22.219;;ACRE
491;@vanderloubet;Vander Loubet;Vander Loubet;PT;PT;PT;54.991;;MATO GROSSO DO SUL
492;@vanderleimacris;Vanderlei Macris;Vanderlei Macris;PSDB;PSDB;PSDB / PSD / DEM / PP;102.708;;SÃO PAULO
493;@vavamartinspa;Vavá Martins;Vavá Martins;Republicanos;Republicanos;MDB / PSD / PL / PP / PTB / PSC / PSL / Republicanos / PMB / PHS / PODE;158.717;;PARÁ
494;–;Vermelho;Vermelho;PSD;PSD;PSD / PSC / PL / Cidadania / PODE;70.001;;PARANÁ
495;@VICENTINHOPT;Vicentinho;Vicentinho;PT;PT;PT / PCdoB;70.645;;SÃO PAULO
496;@vicentinhojr;Vicentinho Júnior;Vicentinho Júnior;PL;PL;PSB / PSDB / PL / PODE / MDB / PSC;49.868;;TOCANTINS
497;@Vilsondafetaemg;Vilson da FETAEMG;Vilson da FETAEMG;PSB;PSB;PT / PL / PSB / DC / PCdoB;67.827;;MINAS GERAIS
498;@falecomvinicius;Vinicius Carvalho;Vinicius Carvalho;Republicanos;Republicanos;Republicanos;97.862;;SÃO PAULO
499;@Vinicius_Farah;Vinícius Farah;Vinícius Farah;MDB;MDB;DEM / MDB / PP / PTB;57.707;;RIO DE JANEIRO
500;–;Vinícius Gurgel;Vinícius Gurgel;PL;PL;Cidadania / PHS / PL / PSL;18.818;;AMAPÁ
501;@ViniciusPoit;Vinicius Poit;Vinicius Poit;NOVO;NOVO;NOVO;207.118;;SÃO PAULO
502;@MajorVitorHugo;Vitor Hugo;Vitor Hugo;PSL;PSL;PSL / DC;30.508;Suspenso por 1 ano de atividade partidária;GOIÁS
503;@DepVitorLippi;Vítor Lippi;Vítor Lippi;PSDB;PSDB;PSDB / PSD / DEM / PP;120.529;;SÃO PAULO
504;@waldenorpereira;Waldenor Pereira;Waldenor Pereira;PT;PT;PT / PCdoB / PP / PSB / PSD / PL / PODE;121.478;;BAHIA
505;@walteralvesrn;Walter Alves;Walter Alves;MDB;MDB;PDT / PP / MDB;79.333;;RIO GRANDE DO NORTE
506;@pradoweliton;Weliton Prado;Weliton Prado;PROS;PROS;PROS;128.721;;MINAS GERAIS
507;@wr22;Wellington Roberto;Wellington Roberto;PL;PL;MDB / PL / Patriota;107.465;;PARAÍBA
508;@WilsonSantiago_;Wilson Santiago;Wilson Santiago;PTB;PTB;PSB / PTB / Republicanos / PT / DEM / PDT / PCdoB / PODE;86.208;;PARAÍBA
509;@WladGarotinho;Wladimir Garotinho;Wladimir Garotinho;PSD;PSD;PRP;39.398;Eleito pelo PRP;RIO DE JANEIRO
510;@WolneyQueirozM;Wolney Queiroz;Wolney Queiroz;PDT;PDT;PROS / Avante / PDT;82.592;;PERNAMBUCO
511;@Dep_ZeCarlosPT;Zé Carlos;Zé Carlos;PT;PT;PT;76.699;;MARANHÃO
512;@ZeMarioGO;Zé Mário;Zé Mário;DEM;DEM;DEM / PROS / PRP / PDT / PSC / PODE;91.357;;GOIÁS
513;@depzeneto;Zé Neto;Zé Neto;PT;PT;PT / PCdoB / PP / PSB / PSD / PL / PODE;129.196;;BAHIA
514;@ZeSilva_;Zé Silva;Zé Silva;Solidariedade;Solidariedade;PSDB / PSD / Solidariedade / Cidadania / DEM / PP;107.196;;MINAS GERAIS
515;@zevitor_mg;Zé Vitor;Zé Vitor;PL;PL;PSC / PTB / PMN;32.802;Eleito pelo PMN;MINAS GERAIS
516;@zeca_dirceu;Zeca Dirceu;Zeca Dirceu;PT;PT;PT;77.306;;PARANÁ
